1,BE,BAD,,,,,,
2,UP,CUP,,,,,,
3,US,BUS,SUB,,,,,
4,IF,IT,FIT,,,,,
5,NO,ON,SO,SON,,,,
6,DO,GO,DOG,GOD,,,,
7,UP,US,SUP,,,,,
8,OF,OX,FOX,,,,,
9,TO,OPT,POT,TOP,,,,
10,AM,MY,MAY,YAM,,,,
11,DO,OR,WORD,,,,,
12,HE,NO,ON,HONE,,,,
13,ACE,CAFE,FACE,,,,,
14,NO,ON,ONE,OVEN,,,,
15,AT,ACT,CAT,FAT,FACT,,,
16,IN,IT,TIN,,,,,
17,DO,OR,OLD,ROD,LORD,,,
18,IS,WE,SEW,WISE,,,,
19,AS,SEA,SAVE,VASE,,,,
20,UP,COP,CUP,COUP,,,,
21,NO,ON,CON,ONE,ONCE,,,
22,ME,LIE,LIME,MILE,,,,
23,BOW,LOW,LOW,OWL,BOWL,,,
24,HE,HER,HEIR,HIRE,,,,
25,IN,NAP,NIP,PAN,PAIN,,,
26,AS,AT,ART,RAT,STAR,,,
27,IN,DEN,DIN,END,DINE,,,
28,NOW,OWN,SON,SOW,SNOW,,,
29,AT,IT,PIT,TIP,PITA,,,
30,IN,IS,INK,SKI,SKIN,,,
31,ACT,CAT,COT,COAT,,,,
32,IN,NO,ON,OIL,LION,,,
33,SO,UP,US,PUS,SOUP,,,
34,LET,LIE,TIE,LITE,,,,
35,IF,IT,FIG,FIT,GIT,GIFT,,
36,DOG,DOG,LOG,OLD,GOLD,,,
37,SO,TO,POT,TOP,POST,STOP,,
38,NET,NOT,ONE,TEN,TOE,TON,,
39,HIS,HIT,SIR,SIT,THIS,SHIRT,,
40,BY,US,BUS,BUY,SUB,BUSY,BUYS,
41,LESS,BLESS,,,,,,
42,AND,SAD,DEAN,SAND,SEND,,,
43,HOT,HUT,OUT,TOY,YOU,YOUTH,,
44,LOB,ONE,BONE,NOBLE,,,,
45,BED,BEE,DEER,BREED,,,,
46,CART,COAT,CROAT,,,,,
47,PET,PIT,TIP,DIET,EDIT,,,
48,AIR,GIN,NAG,RAG,RIG,GRAIN,,
49,CUT,TUCK,TUSK,STUCK,,,,
50,ALL,APE,PAL,PEA,LAPEL,,,
51,AND,RAG,DRAG,GRAND,,,,
52,BAD,BAR,DAB,BARD,,,,
53,ACT,CAR,CAT,FAT,FAT,CRAFT,,
54,HIT,RIG,RIGHT,,,,,
55,EVE,EVEN,EVER,NEVER,,,,
56,SO,TO,TOO,SOOT,,,,
57,AM,AT,ME,EAT,MATE,MEAT,,
58,ORE,REP,PORE,ROPE,,,,
59,FIT,ITS,SIT,WIT,SWIFT,,,
60,VIE,DIVE,DOVE,VIDEO,,,,
61,HOT,NOT,TON,MONTH,,,,
62,NET,NEW,TEN,WIN,TWIN,WINE,TWINE,
63,LAY,SAY,LAST,SALT,STAY,SALTY,,
64,TOE,MORE,ROTE,TERM,,,,
65,CAPE,EACH,HEAP,PACE,CHEAP,PEACH,,
66,RED,DIRE,FIRE,RIDE,FRIED,,,
67,WIN,SIGN,SING,WING,SWING,,,
68,GO,OR,UP,OUT,RUG,GROUP,,
69,AS,HE,HARE,HEAR,SHARE,,,
70,ANT,NUT,TAN,AUNT,,,,
71,HAM,SEA,SHE,MASH,SAME,SEAM,SHAME,
72,DEER,REED,CREED,,,,,
73,ANT,LOT,NOT,TAN,LOAN,TALON,,
